Dam Name,Other Names,NID ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Outlet Gate Type,Data Last Updated,Inspection Frequency,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,Has Photo?,damid,LegacyNumb,DCR_Watershed_SqMi,SVI_TotalPop_InZone,SVI_Pop_POV150,SVI_Pop_AGE65,SVI_Pop_DISABL,SVI_Pop_NOVEH,DCR_EP_Status,Inspection_Date_Final,Condition_Final,Hazard_Final,In Fathom 100yr Flood Zone,In Fathom 500yr Flood Zone,D1_Hazard_Score,Needs_Hazard_Classification,D2_Flood_Score,D3_Watershed_Score,D4_Impact_Score,D5_DataQuality_Score,Triage_Score,Priority_Band
Brown Dam,,VA141027,VA141027,,Not Listed,Not Listed,0,No,,,,Virginia,141027,36.5527,-80.1337,Patrick,Stuart,9.9,White Mud Branch,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,Earth,Earth,,,50,,,50,51-100 feet,270,,,Undetermined,40,40,32,1.8,0.08,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,182,410,0.07521224,3389,602,947,586,118,<Null>,,Not Rated,Unknown,1,1,49.33,1,75,16.18,83.61,84.25,56.52,High
Seals North Dam,,VA033068,VA033068,,Not Listed,Not Listed,0,No,,,,Virginia,33068,38.0334,-77.2314,Caroline,Tappahannock,21.8,Mashbox Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,8,,,8,Less than 25 feet,350,,,Undetermined,138,138,,,0.37,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2045,3368,0.371810704,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,43.88,1,75,47.03,71.99,84.25,60.55,High
Laneview Dam,073dd015,VA073012,VA073012,,Not Listed,Not Listed,0,No,,,,Virginia,73012,37.4806,-76.5416,Gloucester,Williamsburg,17.1,Beech Swamp,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,17,,,17,Less than 25 feet,270,,,Undetermined,121.92,121.92,50.6,11,0.38,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,3229,7312,0.37983948,5482,379,982,942,25,<Null>,,Not Rated,Unknown,1,1,46.45,1,75,47.46,81.66,84.25,63.23,High
Ashbrook  Dam,,VA041065,VA041065,,Not Listed,Not Listed,0,No,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Chesterfield,Richmond,16.8,Dry Creek,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,19,,,19,Less than 25 feet,800,,,Undetermined,295,295,,,2.39,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2141,4165,2.39098883,9901,502,603,1540,60,Development,,Not Rated,"High, Prelim",0,0,77.81,0,0,81.02,86.59,84.25,65.45,High
Seals South Dam,,VA033070,VA033070,,Not Listed,Not Listed,0,No,,,,Virginia,33070,38.0138,-77.2317,Caroline,Tappahannock,21.4,Maracossic Creek,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,18,,,18,Less than 25 feet,250,,,Undetermined,138,138,,,0.44,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2047,3370,0.443049282,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,46.79,1,75,50.95,71.99,84.25,62.26,High
Upper Stonehorse Dam,,VA075039,VA075039,,Not Listed,Not Listed,0,No,,,,Virginia,75039,37.7611,-77.9749,Goochland,Louisa,18.1,Old Miss Branch,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,35,,,35,25-50 feet,,,,Undetermined,242,242,,,0.21,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,674,7539,0.209599972,5774,806,897,676,68,<Null>,,Not Rated,Unknown,1,1,49.89,1,75,33.95,85.23,84.25,61.43,High
Payne Pond,125dd036,VA125024,VA125024,,Not Listed,Not Listed,,No,,,,Virginia,125024,37.7416,-78.8694,Nelson,Buckingham,21.7,Town Creek,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,62.95,62.95,44.1,4.2,0.13,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,3339,12527,0.13325417,2484,379,489,381,42,<Null>,,Not Rated,Unknown,1,1,47.87,1,75,25.18,76.76,84.25,57.04,High
Seals Middle Dam,,VA033069,VA033069,,Not Listed,Not Listed,0,No,,,,Virginia,33069,38.0207,-77.2297,Caroline,Tappahannock,21.4,Mashbox Run,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,18,,,18,Less than 25 feet,350,,,Undetermined,207,207,,,,,,,,12/4/2022,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,2046,3369,,1684,509,343,337,10,<Null>,,Not Rated,Unknown,1,1,47.23,1,75,50,71.99,84.25,62.13,High
Burnely Pond Dam,,VA019040,VA019040,,Not Listed,Not Listed,0,No,,,,Virginia,19040,37.4122,-79.3651,Bedford,Lynchburg,12.2,Elk Creek,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,No,,,,,,26,,,26,25-50 feet,,,,Undetermined,21,21,13.2,1.5,0.03,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,No,222,1940,,3997,354,879,479,35,<Null>,,Not Rated,Unknown,0,0,46.18,1,0,2.02,79.51,68.25,34.78,Moderate
Manassas Dam #1,683dd002,VA683002,VA683002,,Not Listed,Not Listed,0,No,,,,Virginia,683002,38.7399,-77.5155,Manassas,Manassas,2.3,Cannon Branch,"Virginia, Congressional District 10",No,No,,No,No,No,No,No,,,,,,10,,,10,Less than 25 feet,,,,Undetermined,64.5,64.5,,16.1,3.76,,,,,12/4/2022,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,No,,,0.039787881,,,,,,,,Not Rated,Unknown,1,1,43.85,1,75,6.38,0,68.25,34.38,Moderate
