Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category
Brown Dam,,,VA141027,,VA141027,,Not Listed,Not Listed,0,No,,,,,Virginia,141027,36.5527,-80.1337,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,50,,,50,51-100 feet,270,,,Undetermined,,40,40,32,1.8,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals North Dam,,,VA033068,,VA033068,,Not Listed,Not Listed,0,No,,,,,Virginia,33068,38.0334,-77.2314,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,8,,,8,Less than 25 feet,350,,,Undetermined,,138,138,,,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Laneview Dam,073dd015,,VA073012,,VA073012,,Not Listed,Not Listed,0,No,,,,,Virginia,73012,37.4806,-76.5416,Virginia,Gloucester,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17,,,17,Less than 25 feet,270,,,Undetermined,,121.92,121.92,50.6,11,0.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Ashbrook  Dam,,,VA041065,,VA041065,,Not Listed,Not Listed,0,No,,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Virginia,Chesterfield,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,19,,,19,Less than 25 feet,800,,,Undetermined,,295,295,,,2.39,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals South Dam,,,VA033070,,VA033070,,Not Listed,Not Listed,0,No,,,,,Virginia,33070,38.0138,-77.2317,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18,,,18,Less than 25 feet,250,,,Undetermined,,138,138,,,0.44,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Upper Stonehorse Dam,,,VA075039,,VA075039,,Not Listed,Not Listed,0,No,,,,,Virginia,75039,37.7611,-77.9749,Virginia,Goochland,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,35,,,35,25-50 feet,,,,Undetermined,,242,242,,,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Payne Pond,125dd036,,VA125024,,VA125024,,Not Listed,Not Listed,,No,,,,,Virginia,125024,37.7416,-78.8694,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,30,,,30,25-50 feet,,,,Undetermined,,62.95,62.95,44.1,4.2,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Seals Middle Dam,,,VA033069,,VA033069,,Not Listed,Not Listed,0,No,,,,,Virginia,33069,38.0207,-77.2297,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18,,,18,Less than 25 feet,350,,,Undetermined,,207,207,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Burnely Pond Dam,,,VA019040,,VA019040,,Not Listed,Not Listed,0,No,,,,,Virginia,19040,37.4122,-79.3651,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26,,,26,25-50 feet,,,,Undetermined,,21,21,13.2,1.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,FALSE,Low
Manassas Dam #1,683dd002,,VA683002,,VA683002,,Not Listed,Not Listed,0,No,,,,,Virginia,683002,38.7399,-77.5155,Virginia,Manassas,,,,"Virginia, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,,,,,,10,,,10,Less than 25 feet,,,,Undetermined,,64.5,64.5,,16.1,3.76,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,AE,FLOODWAY,TRUE,High
