Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian,Dam Status,Deleted Reason,Has Photo?,FEMA_Flood_Zone,FEMA_Zone_Subtype,FEMA_In_SFHA,Flood_Risk_Category,Snap_Distance_m,NHD_Snap_Flag,NHD_Snap_Source,NHD_River_Name,NHD_Permanent_ID,HUC8_Code,HUC8_Name,HUC12_Code,HUC12_Name,Valid_Snap,County_Population
Brown Dam,,,VA141027,,VA141027,,Not Listed,Not Listed,0.0,No,,,,,Virginia,141027,36.5527,-80.1337,Virginia,Patrick,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,50.0,,,50,51-100 feet,270.0,,,Undetermined,,40.0,40.0,32.0,1.8,0.08,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,11.44035712614766,OK,FLOWLINE,,136628827,3010103.0,Upper Dan,30101030404.0,Lower South Mayo River,True,17660
Seals North Dam,,,VA033068,,VA033068,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33068,38.0334,-77.2314,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,8.0,,,8,Less than 25 feet,350.0,,,Undetermined,,138.0,138.0,,,0.37,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,1.1702522560862263,OK,WATERBODY,,61382491,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Laneview Dam,073dd015,,VA073012,,VA073012,,Not Listed,Not Listed,0.0,No,,,,,Virginia,73012,37.4806,-76.5416,Virginia,Gloucester,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,17.0,,,17,Less than 25 feet,270.0,,,Undetermined,,121.92,121.92,50.6,11.0,0.38,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,8.486706635217793,OK,FLOWLINE,,137272458,2080102.0,Great Wicomico-Piankatank,20801020401.0,Beaverdam Swamp,True,38875
Ashbrook  Dam,,,VA041065,,VA041065,,Not Listed,Not Listed,0.0,No,,,Recreation,Recreation,Virginia,41065,37.3987,-77.6853,Virginia,Chesterfield,,,,"Virginia, Congressional District 01",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,19.0,,,19,Less than 25 feet,800.0,,,Undetermined,,295.0,295.0,,,2.39,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,5.237780813819518,OK,WATERBODY,,61495673,2080207.0,Appomattox,20802070901.0,Swift Creek Reservoir-Swift Creek,True,366019
Seals South Dam,,,VA033070,,VA033070,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33070,38.0138,-77.2317,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18.0,,,18,Less than 25 feet,250.0,,,Undetermined,,138.0,138.0,,,0.44,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,21.621407820429408,OK,FLOWLINE,,61363783,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Upper Stonehorse Dam,,,VA075039,,VA075039,,Not Listed,Not Listed,0.0,No,,,,,Virginia,75039,37.7611,-77.9749,Virginia,Goochland,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,35.0,,,35,25-50 feet,,,,Undetermined,,242.0,242.0,,,0.21,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,0.0,OK,WATERBODY,,62587350,2080205.0,Middle James-Willis,20802050503.0,Big Lickinghole Creek,True,24906
Payne Pond,125dd036,,VA125024,,VA125024,,Not Listed,Not Listed,,No,,,,,Virginia,125024,37.7416,-78.8694,Virginia,Nelson,,,,"Virginia, Congressional District 05",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,30.0,,,30,25-50 feet,,,,Undetermined,,62.95,62.95,44.1,4.2,0.13,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,14.047902912933266,OK,FLOWLINE,,39891159,2080203.0,Middle James-Buffalo,20802030702.0,Rucker Run,True,14773
Seals Middle Dam,,,VA033069,,VA033069,,Not Listed,Not Listed,0.0,No,,,,,Virginia,33069,38.0207,-77.2297,Virginia,Caroline,,,,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,18.0,,,18,Less than 25 feet,350.0,,,Undetermined,,207.0,207.0,,,,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,No,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,6.495681305609045,OK,WATERBODY,,61382595,2080105.0,Mattaponi,20801050401.0,Jacks Creek-Maracossic Creek,True,31181
Burnely Pond Dam,,,VA019040,,VA019040,,Not Listed,Not Listed,0.0,No,,,,,Virginia,19040,37.4122,-79.3651,Virginia,Bedford,,,,"Virginia, Congressional District 09",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,,,,,,26.0,,,26,25-50 feet,,,,Undetermined,,21.0,21.0,13.2,1.5,0.03,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,3/8/2021,No,,Active,,No,X,AREA OF MINIMAL FLOOD HAZARD,False,Low,239.02544445382145,REVIEW,FLOWLINE,,{48BCD53F-549B-416C-835E-FB80E7FC1DF4},3010101.0,Upper Roanoke,30101011403.0,Chestnut Branch-Elk Creek,True,79761
Manassas Dam #1,683dd002,,VA683002,,VA683002,,Not Listed,Not Listed,0.0,No,,,,,Virginia,683002,38.7399,-77.5155,Virginia,Manassas,,,,"Virginia, Congressional District 10",No,No,,No,No,No,No,,,,,,,,,No,,,,,,10.0,,,10,Less than 25 feet,,,,Undetermined,,64.5,64.5,,16.1,3.76,,,,,,,,,,12/4/2022,,,Undetermined,Not Rated,,Not Required,,https://damsafety.org/virginia,Not Applicable,1/5/2021,No,,Active,,No,AE,FLOODWAY,True,High,5.117079209242744,OK,WATERBODY,,{B2B518B6-973F-497F-9FB7-22EB1F322782},2070010.0,Middle Potomac-Anacostia-Occoquan,20700100504.0,Rocky Branch-Broad Run,True,42620
